0;;
1;;
2;;
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
11;;
12;[ 0.99791515 -0.00307447  0.06446633  0.13688974] [ 0.00462629  0.99970278 -0.02393638 -0.02421574] [-0.06437358  0.02418471  0.99763277  1.30670097] [0. 0. 0. 1.];[ 0.99791515 -0.00307447  0.06446633  0.13688974] [ 0.00462629  0.99970278 -0.02393638 -0.02421574] [-0.06437358  0.02418471  0.99763277  1.30670097] [0. 0. 0. 1.]
13;[ 0.99791515 -0.00307447  0.06446633  0.13688974] [ 0.00462629  0.99970278 -0.02393638 -0.02421574] [-0.06437358  0.02418471  0.99763277  1.30670097] [0. 0. 0. 1.];[0.99577714 0.00272639 0.09176305 0.23208479] [ 2.97698857e-05  9.99549272e-01 -3.00208563e-02 -3.43817218e-02] [-0.09180354  0.02989681  0.99532823  1.986346  ] [0. 0. 0. 1.]
14;[0.99575419 0.00314351 0.09199839 0.2235875 ] [-3.70758684e-04  9.99545595e-01 -3.01407651e-02 -3.05162701e-02] [-0.09205133  0.02997868  0.99530288  1.98761915] [0. 0. 0. 1.];[0.9931925  0.00863071 0.11616436 0.33651511] [-0.00529183  0.99956481 -0.02902043 -0.03933982] [-0.11636428  0.02820815  0.99280595  2.65440626] [0. 0. 0. 1.]
15;[0.99320072 0.00863105 0.11609405 0.33031823] [-0.00538067  0.9995855  -0.02828207 -0.04980655] [-0.11629004  0.02746511  0.99283548  2.64533925] [0. 0. 0. 1.];[0.99028804 0.0128995  0.13843119 0.44202481] [-0.00984168  0.99969272 -0.02275097 -0.05867029] [-0.13868213  0.02116762  0.9901107   3.37401295] [0. 0. 0. 1.]
16;[0.99026765 0.0126595  0.13859911 0.42638177] [-0.00972607  0.99971457 -0.02182174 -0.07480938] [-0.1388358   0.02026134  0.99010813  3.37228397] [0. 0. 0. 1.];[0.98745776 0.01054334 0.157531   0.60080528] [-0.00812326  0.99983902 -0.01599854 -0.09376565] [-0.15767432  0.01451822  0.98738444  4.06828243] [0. 0. 0. 1.]
17;[0.99026765 0.0126595  0.13859911 0.42638177] [-0.00972607  0.99971457 -0.02182174 -0.07480938] [-0.1388358   0.02026134  0.99010813  3.37228397] [0. 0. 0. 1.];[0.98452928 0.00918345 0.17497931 0.73144979] [-0.00710791  0.9998968  -0.01248465 -0.12314362] [-0.1750759   0.01104777  0.98449295  4.79830534] [0. 0. 0. 1.]
18;[0.9844418  0.00928957 0.17546522 0.70130357] [-0.00723869  0.99989785 -0.01232469 -0.12405678] [-0.17556178  0.0108628   0.98440848  4.81498431] [0. 0. 0. 1.];[0.98201287 0.00827798 0.18863243 0.91270069] [-0.00619434  0.99991315 -0.01163286 -0.14263624] [-0.18871234  0.01025517  0.98197886  5.51024544] [0. 0. 0. 1.]
