0;;
1;;
2;[ 9.94424472e-01 -3.21576470e-04  1.05450772e-01  2.10934499e-01] [-1.59987432e-05  9.99994879e-01  3.20039731e-03 -1.02510916e-02] [-0.10545126 -0.00318424  0.99441937  1.02009416] [0. 0. 0. 1.];[ 9.94424472e-01 -3.21576470e-04  1.05450772e-01  2.10934499e-01] [-1.59987432e-05  9.99994879e-01  3.20039731e-03 -1.02510916e-02] [-0.10545126 -0.00318424  0.99441937  1.02009416] [0. 0. 0. 1.]
3;[ 9.94424472e-01 -3.21576470e-04  1.05450772e-01  2.10934499e-01] [-1.59987432e-05  9.99994879e-01  3.20039731e-03 -1.02510916e-02] [-0.10545126 -0.00318424  0.99441937  1.02009416] [0. 0. 0. 1.];[ 0.98726195 -0.00316393  0.15907176  0.36182355] [ 0.00223524  0.9999794   0.00601674 -0.01189991] [-0.15908752 -0.00558454  0.98724869  1.50692142] [0. 0. 0. 1.]
4;[ 0.9873178  -0.00328859  0.1587222   0.3722609 ] [ 0.0023511   0.99997867  0.0060939  -0.01357069] [-0.15873886 -0.00564344  0.98730448  1.50632491] [0. 0. 0. 1.];[ 0.97667023 -0.00502711  0.21468577  0.52151687] [ 0.00304806  0.99994977  0.00954842 -0.01120522] [-0.21472299 -0.00867128  0.9766365   1.97963613] [0. 0. 0. 1.]
5;[ 0.97697271 -0.00484217  0.21330934  0.55055119] [ 0.00280645  0.9999476   0.00984526 -0.01716541] [-0.21334584 -0.00901991  0.9769351   1.97507125] [0. 0. 0. 1.];[ 0.96301104 -0.00506234  0.26941438  0.7398728 ] [ 0.00179608  0.99992189  0.0123687  -0.03151771] [-0.26945595 -0.01142731  0.96294491  2.43515889] [0. 0. 0. 1.]
6;[ 0.96324495 -0.0051777   0.2685747   0.75624899] [ 0.00205181  0.99992687  0.01191819 -0.02303536] [-0.26861676 -0.01092908  0.96318513  2.42985369] [0. 0. 0. 1.];[ 0.94596254 -0.00813574  0.32417384  0.99261892] [ 0.00473896  0.9999253   0.01126633 -0.03479546] [-0.32424129 -0.00912128  0.94593044  2.86936604] [0. 0. 0. 1.]
7;[ 0.94623098 -0.00828894  0.32338557  1.00233224] [ 0.0049636   0.999926    0.01110631 -0.03135071] [-0.3234537  -0.00890397  0.94620211  2.86309797] [0. 0. 0. 1.];[ 0.9262444  -0.01206257  0.37673042  1.26426643] [ 0.00974185  0.99992002  0.00806483 -0.03791156] [-0.37679758 -0.00379995  0.92628783  3.29993782] [0. 0. 0. 1.]
8;[ 0.94623098 -0.00828894  0.32338557  1.00233224] [ 0.0049636   0.999926    0.01110631 -0.03135071] [-0.3234537  -0.00890397  0.94620211  2.86309797] [0. 0. 0. 1.];[ 0.90394175 -0.01442714  0.42741219  1.55781325] [ 0.01355116  0.99989522  0.00509152 -0.04955336] [-4.27440858e-01  1.18949448e-03  9.04042531e-01  3.69690264e+00] [0. 0. 0. 1.]
9;[ 0.90482088 -0.01447547  0.42554627  1.5836819 ] [ 0.01357131  0.99989461  0.00515654 -0.05233038] [-4.25576069e-01  1.10946942e-03  9.04921974e-01  3.68447466e+00] [0. 0. 0. 1.];[ 0.88012855 -0.01593591  0.47446789  1.87896086] [ 0.01663558  0.99985791  0.00272347 -0.06012408] [-0.47444387  0.00549605  0.8802686   4.07996518] [0. 0. 0. 1.]
10;[ 0.90482088 -0.01447547  0.42554627  1.5836819 ] [ 0.01357131  0.99989461  0.00515654 -0.05233038] [-4.25576069e-01  1.10946942e-03  9.04921974e-01  3.68447466e+00] [0. 0. 0. 1.];[ 0.85503887 -0.01511767  0.51834351  2.21806832] [ 1.75217598e-02  9.99846449e-01  2.57680277e-04 -5.68428354e-02] [-0.51826781  0.00886196  0.85517246  4.45531502] [0. 0. 0. 1.]
11;[ 0.85557369 -0.01519227  0.51745806  2.22939906] [ 1.73758294e-02  9.99848833e-01  6.25493580e-04 -6.14856457e-02] [-0.51738934  0.00845611  0.85570834  4.44255623] [0. 0. 0. 1.];[ 0.82706596 -0.01650063  0.56186264  2.5697884 ] [ 0.02080706  0.99978271 -0.00126679 -0.03533194] [-0.56171965  0.01273843  0.82722957  4.83575044] [0. 0. 0. 1.]
